Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
3_0;Quick Sort;20;0.002000;0.002000;100;190
3_0;Shell Sort;20;0.001000;0.002000;36;80
4_47;Insertion Sort;20;0.001000;0.000600;0;84
4_47;Selection Sort;20;0.001000;0.000600;9;190
4_47;Merge Sort;20;0.001400;0.001200;0;62
4_47;Quick Sort;20;0.001000;0.000400;63;92
4_47;Shell Sort;20;0.000800;0.000600;27;81
1_0;Insertion Sort;30;0.001800;0.001200;0;275
1_0;Selection Sort;30;0.001600;0.001600;26;435
1_0;Merge Sort;30;0.005200;0.005000;0;112
1_0;Quick Sort;30;0.001000;0.001200;70;140
1_0;Shell Sort;30;0.001200;0.001200;72;147
2_0;Insertion Sort;30;0.002000;0.001000;0;29
2_0;Selection Sort;30;0.002000;0.001000;0;435
2_0;Merge Sort;30;0.002000;0.002000;0;77
2_0;Quick Sort;30;0.002000;0.003000;435;435
2_0;Shell Sort;30;0.000000;0.001000;0;94
3_0;Insertion Sort;30;0.006000;0.002000;0;435
3_0;Selection Sort;30;0.002000;0.002000;15;435
3_0;Merge Sort;30;0.003000;0.002000;0;71
3_0;Quick Sort;30;0.003000;0.002000;225;435
3_0;Shell Sort;30;0.001000;0.002000;69;138
4_89;Insertion Sort;30;0.001800;0.001200;0;249
4_89;Selection Sort;30;0.001800;0.001600;23;435
4_89;Merge Sort;30;0.002200;0.001800;0;112
4_89;Quick Sort;30;0.000600;0.000800;76;142
4_89;Shell Sort;30;0.001200;0.000800;77;157
1_0;Insertion Sort;40;0.002400;0.001400;0;451
1_0;Selection Sort;40;0.002800;0.002400;36;780
1_0;Merge Sort;40;0.002600;0.002400;0;167
1_0;Quick Sort;40;0.001800;0.001200;145;193
1_0;Shell Sort;40;0.001600;0.001200;102;240
2_0;Insertion Sort;40;0.005000;0.001000;0;39
2_0;Selection Sort;40;0.003000;0.003000;0;780
2_0;Merge Sort;40;0.003000;0.003000;0;116
2_0;Quick Sort;40;0.004000;0.004000;780;780
2_0;Shell Sort;40;0.000000;0.000000;0;162
3_0;Insertion Sort;40;0.006000;0.003000;0;780
3_0;Selection Sort;40;0.003000;0.003000;20;780
3_0;Merge Sort;40;0.002000;0.002000;0;100
3_0;Quick Sort;40;0.004000;0.003000;400;780
3_0;Shell Sort;40;0.002000;0.001000;92;216
4_13;Insertion Sort;40;0.000800;0.001200;0;168
4_13;Selection Sort;40;0.002200;0.002000;5;780
4_13;Merge Sort;40;0.002400;0.002400;0;148
4_13;Quick Sort;40;0.003000;0.002200;461;514
4_13;Shell Sort;40;0.001400;0.001200;63;219
1_0;Insertion Sort;50;0.003200;0.002000;0;665
1_0;Selection Sort;50;0.004200;0.004000;44;1225
1_0;Merge Sort;50;0.004200;0.004000;0;225
1_0;Quick Sort;50;0.002000;0.001800;191;258
1_0;Shell Sort;50;0.001800;0.002200;158;340
2_0;Insertion Sort;50;0.003000;0.001000;0;49
2_0;Selection Sort;50;0.004000;0.003000;0;1225
2_0;Merge Sort;50;0.003000;0.003000;0;153
2_0;Quick Sort;50;0.006000;0.006000;1225;1225
2_0;Shell Sort;50;0.000000;0.000000;0;203
3_0;Insertion Sort;50;0.005000;0.004000;0;1225
3_0;Selection Sort;50;0.005000;0.004000;25;1225
3_0;Merge Sort;50;0.004000;0.004000;0;133
3_0;Quick Sort;50;0.005000;0.005000;625;1225
3_0;Shell Sort;50;0.002000;0.001000;105;263
4_67;Insertion Sort;50;0.002400;0.002000;0;597
4_67;Selection Sort;50;0.003800;0.003600;28;1225
4_67;Merge Sort;50;0.003000;0.003200;0;227
4_67;Quick Sort;50;0.002000;0.001800;147;279
4_67;Shell Sort;50;0.002000;0.002000;138;320
1_0;Insertion Sort;60;0.003000;0.002800;0;935
1_0;Selection Sort;60;0.005000;0.005000;56;1770
1_0;Merge Sort;60;0.003800;0.003400;0;282
1_0;Quick Sort;60;0.002000;0.002400;239;334
1_0;Shell Sort;60;0.002600;0.002200;208;422
2_0;Insertion Sort;60;0.003000;0.000000;0;59
2_0;Selection Sort;60;0.005000;0.005000;0;1770
2_0;Merge Sort;60;0.004000;0.004000;0;184
2_0;Quick Sort;60;0.008000;0.008000;1770;1770
2_0;Shell Sort;60;0.001000;0.001000;0;244
3_0;Insertion Sort;60;0.008000;0.005000;0;1770
